route_short_name,route_long_name,route_desc,route_type,route_id,agency_id,via
KBS-BMH,KBS-BMHUP,Kempegowda Bus Station To Billamaranahalli,3,2300,BMTC,Yelahanka
289-F,289-FUP,Yalahanka Old Town To Hoskote,3,2353,BMTC,Bagaluru Budigere
MTGH-PTH,MTGH-PTHDOWN,Muthugadahalli To Puttenahalli,3,2368,BMTC,Shivakote MS Palya Yalahanka Satellite Town
HKP-KBS,HKP-KBSUP,Kempapura Hebbala To Kempegowda Bus Station,3,2395,BMTC,Mekhri Circle
PTH-CRPF,PTH-CRPFUP,Puttenahalli To CRPF Campus,3,2409,BMTC,Ananthapura Gate
HBL-APN,HBL-APNUP,Hebbala To Annapoorneshwari ,3,2416,BMTC,BEL Circle
HKP-PTN,HKP-PTNUP,Kempapura Hebbala To Puttenahalli,3,2417,BMTC,nan
KBS-NLR,KBS-NLRUP,Kempegowda Bus Station To Nallur,3,2450,BMTC,Hebbala Devanahalli
401-AE,401-AEUP,Jalahalli Cross To Tharahunase,3,2495,BMTC,Gangamma Circle Yalahanka NES Office
JHC-YHK,JHC-YHKUP,Jalahalli Cross To Yalahanka Old Town,3,2498,BMTC,NES Office
YHK-JHC,YHK-JHCUP,Yalahanka Old Town To Jalahalli Cross,3,2500,BMTC,NES Office
KKH-PTH,KKH-PTHDOWN,Kakkehalli To Puttenahalli,3,2505,BMTC,Marasandra
PNN-YHK,PNN-YHKDOWN,Padmanabhanagara To Yalahanka Old Town,3,2514,BMTC,KR Market Hebbala
235-A,235-AUP,KR Market To Nagarabhavi Village,3,2524,BMTC,Mysore Road Bus Stand Vijayanagara Mudalapalya
235-A,235-ADOWN,Nagarabhavi Village To KR Market,3,2525,BMTC,Mudalapalya Bapujinagara Sirsi Circle
500-G,500-GUP,Devasandra Chikkamaranahalli To Central Silk Board,3,2527,BMTC,Tin Factory
316-A,316-ADOWN,Gangawara To KR Market,3,2543,BMTC,KR Puram
316-E,316-EUP,KR Market To Hancharahalli,3,2554,BMTC,KR Puram
316-C,316-CUP,KR Market To Huskuru,3,2557,BMTC,KR Puram Budigere Cross
316-D,316-DUP,KR Market To B Marenahalli,3,2558,BMTC,KR Puram Budigere
316-A,316-AUP,KR Market To Gangawara,3,2559,BMTC,KR Puram
316,316UP,KR Market To Budigere,3,2560,BMTC,KR Puram
316,316DOWN,Budigere To KR Market,3,2561,BMTC,KR Puram
316-D,316-DDOWN,B Marenahalli To KR Market,3,2562,BMTC,Budigere KR Puram
316-B,316-BUP,Kempegowda Bus Station To Budigere,3,2563,BMTC,KR Puram
316-K,316-KUP,KR Market To Kaggalahalli,3,2574,BMTC,KR Puram Budigere
316-K,316-KDOWN,Kaggalahalli To KR Market,3,2577,BMTC,Budigere KR Puram
400-V,400-VUP,Vidyaranyapura Bus Station To KR Puram Government Hospital,3,2579,BMTC,Kothanuru
316-N,316-NDOWN,Handarahalli To KR Market,3,2589,BMTC,KR Puram
316-G,316-GDOWN,Manduru To Kempegowda Bus Station,3,2590,BMTC,KR Puram
316-V,316-VUP,KR Market To Baiyapannahalli,3,2591,BMTC,KR Puram
316-V,316-VDOWN,Bayyappanahalli To KR Market,3,2592,BMTC,KR Puram
316-Y,316-YUP,KR Puram Market To Devanahalli New Bus Stand,3,2594,BMTC,Budigere Bychapura
316-Y,316-YDOWN,Devanahalli New Bus Stand To KR Puram Market,3,2596,BMTC,Bychapura Budigere
318,318UP,KR Market To Jyothipura,3,2601,BMTC,KR Puram
317,317UP,KR Market To Hoskote,3,2602,BMTC,KR Puram
317G,317GUP,Shivajinagara Bus Stand To Hoskote Bus Stand,3,2614,BMTC,KR Puram
317-N,317-NUP,KR Market To Kamarasanahalli,3,2619,BMTC,Hoskote
317-Q,317-QUP,KR Market To Nelavagilu,3,2620,BMTC,Hoskote
317-S,317-SUP,KR Market To Beguru,3,2622,BMTC,Hoskote
317-SA,317-SAUP,KR Market To Doddanallurahalli,3,2623,BMTC,Hoskote
317-YA,317-YAUP,KR Market To Kattigenahalli,3,2629,BMTC,Hoskote
317-YE,317-YEUP,Kempegowda Bus Station To Govindapura,3,2631,BMTC,Hoskote
381,381UP,Kempegowda Bus Station To Thimmasandra,3,2632,BMTC,Hoskote
382-B,382-BUP,KR Market To Nidighatta,3,2637,BMTC,Hoskote
382-D,382-DUP,KR Market To Mugabala,3,2638,BMTC,Hoskote
380,380UP,Kempegowda Bus Station To Kolatturu,3,2641,BMTC,Hoskote
382,382UP,KR Market To Kallahalli,3,2654,BMTC,Hoskote
404-J,404-JUP,Yalahanka New Town 5th Phase To Shanthinagara TTMC,3,2661,BMTC,Shivajinagara
404-J,404-JDOWN,Shanthinagara TTMC To Yalahanka New Town 5th Phase,3,2665,BMTC,Shivajinagara
316-Q,316-QDOWN,Kaggalahalli To KR Market,3,2677,BMTC,Budigere Tin Factory
315,315UP,Kempegowda Bus Station To KR Puram Government Hospital,3,2678,BMTC,Halasuru Tin Factory
315,315DOWN,KR Puram Government Hospital To Kempegowda Bus Station,3,2680,BMTC,Halasuru Tin Factory
316-Q,316-QUP,KR Market To Kaggalahalli,3,2682,BMTC,Avalahalli
313-K,313-KUP,KR Market To Ayyappa Nagara Sadramangla,3,2713,BMTC,Halasuru KR Puram
313-K,313-KDOWN,Ayyappanagara Sadramangla To KR Market,3,2714,BMTC,KR Puram Halasuru
285-MP,285-MPUP,Yalahanka Old Town To Doddaballapura,3,2726,BMTC,Gowdahalli
248,248DOWN,Jalahalli Cross To KR Market,3,2730,BMTC,Vijayanagara
285-MP,285-MPDOWN,Doddaballapura To Yalahanka Old Town,3,2731,BMTC,Gowdahalli
313-M,313-MUP,KR Market To Parvathinagara,3,2736,BMTC,Isolation Hospital KR Puram
311-K,311-KDOWN,Kadugodi Bapuji Circle To Shivajinagara Bus Station,3,2747,BMTC,KR Puram
311-J,311-JDOWN,Seegehalli To Shivajinagara Bus Station,3,2771,BMTC,Devasandra Halasuru
61-B,61-BDOWN,Saraswathinagara To Kempegowda Bus Station,3,2796,BMTC,Vijayanagara
313-B,313-BDOWN,Vijanapura To KR Market,3,2828,BMTC,B Channasandra Bridge Halasuru
313-B,313-BUP,KR Market To Vijanapura,3,2829,BMTC,Halasuru B Channasandra Bridge
307-C,307-CUP,KR Market To Doddabannahalli,3,2832,BMTC,Halasuru KR Puram
307-C,307-CDOWN,Doddabannahalli To KR Market,3,2836,BMTC,KR Puram Halasuru
312-A,312-AUP,Shivajinagara Bus Station To Maragondanahalli,3,2837,BMTC,Tin Factory
313-A,313-ADOWN,Maragondanahalli To KR Market,3,2843,BMTC,Garden City College KR Puram Halasuru
312-A,312-ADOWN,Maragondanahalli To Shivajinagara Bus Station,3,2848,BMTC,KR Puram Halasuru
211-B,211-BUP,Kempegowda Bus Station To Somanahalli,3,2909,BMTC,Banashankari
250-J,250-JUP,Kempegowda Bus Station To Thotada Guddadahalli,3,2919,BMTC,Yashawanthapura
250-J,250-JDOWN,Thotada Guddadahalli To Kempegowda Bus Station,3,2921,BMTC,Yashawanthapura
210-W,210-WDOWN,Kariyannapalya To Kempegowda Bus Station,3,2935,BMTC,KR Market
210-V,210-VUP,Banashankari TTMC To Banashankari TTMC,3,2938,BMTC,Uttarahalli
YRSTN-YHK,YRSTN-YHKUP,Yashawanthapura New Railway Station To Yalahanka Old Town,3,2952,BMTC,Yashawanthapura Hebbala
2-E,2-EUP,JP Nagara 6th Phase To Kempegowda Bus Station,3,2967,BMTC,Jayanagara
250-YA,250-YAUP,Kempegowda Bus Station To Meeenakshi Layout,3,2971,BMTC,Yashawanthapura Jalahalli Cross
250-YA,250-YADOWN,Meeenakshi Layout To Kempegowda Bus Station,3,2978,BMTC,Yashawanthapura Malleshwaram
HGH-YHK,HGH-YHKUP,Hegganahalli To Yalahanka Old Town,3,2983,BMTC,Sadahalli
YHK-HGH,YHK-HGHDOWN,Yalahanka Old Town To Hegganahalli,3,2984,BMTC,Sadahalli
314-D,314-DUP,Kempegowda Bus Station To Malleshpalya New Bus Station,3,2985,BMTC,Halasuru Malleshapalya
314-X,314-XUP,Kempegowda Bus Station To Abbaiah Layout,3,3013,BMTC,Halasuru BEML Gate
213-KA,213-KAUP,KR Market To Nettigere,3,3035,BMTC,Banashankari Udhipalya
314-D,314-DDOWN,Malleshpalya New Bus Station Vignananagar Bus Stand To Kempegowda Bus Station,3,3041,BMTC,Malleshpalya Halasuru
311,311UP,Shivajinagara Bus Station To KR Puram Government Hospital,3,3043,BMTC,Halasuru Ramamurthynagara
213-KA,213-KADOWN,Nettigere To KR Market,3,3045,BMTC,Banashankari Uttarahalli South End Circle
315-DN,315-DNDOWN,NRI Layout To Kempegowda Bus Station,3,3052,BMTC,B Channasandra Halasuru
315-DN,315-DNUP,Kempegowda Bus Station To NRI Layout,3,3059,BMTC,B Channasandra Halasuru
313-F,313-FDOWN,Rampura To KR Market,3,3063,BMTC,Ramamurthynagara Halasuru
315-K,315-KUP,Kempegowda Bus Station To KR Puram Government Hospital,3,3066,BMTC,Halasuru Ramamurthynagara
213-N,213-NUP,Kempegowda Bus Station To Nettigere,3,3068,BMTC,KR Market Banashankari Silk Farm
313-D,313-DUP,KR Market To KR Puram Government Hospital,3,3070,BMTC,Isolation Hospital Channasandra Railway Bridge
313-L,313-LUP,KR Market To Ramamurthynagara Alada Mara,3,3073,BMTC,Halasuru B Channasandra Bridge
313-L,313-LDOWN,Ramamurthynagara Alada Mara To KR Market,3,3074,BMTC,Halasuru Corporation
210-GA,210-GAUP,Shivajinagara Bus Station To Kumaraswamy Layout West,3,3081,BMTC,Jayanagara
314-C,314-CUP,KR Market To Nagavarapalya,3,3082,BMTC,Halasuru BEML Gate
212-D,212-DUP,Kempegowda Bus Station To Agara,3,3083,BMTC,KR Market Banashankari
314-C,314-CDOWN,Nagavarapalya To KR Market,3,3085,BMTC,BEML Gate Kodihalli Halasuru
210-GA,210-GADOWN,Kumaraswamy Layout West To Shivajinagara Bus Station,3,3089,BMTC,Jayanagara
252-A,252-AUP,Shivajinagara Bus Station To Peenya 2nd Stage,3,3097,BMTC,Mekhri Circle
213,213UP,KR Market To Ravagodlu,3,3120,BMTC,Banashankari Kaggalipura
210-X,210-XUP,Kempegowda Bus Station To Chandra Nagara,3,3125,BMTC,KR Market
251-A,251-ADOWN,Kakolu Village To KR Market,3,3129,BMTC,Jalahalli Cross Yashawanthapura
210-CA,210-CADOWN,Gubbalala To Kempegowda Bus Station,3,3140,BMTC,KR Market Banashankari
257,257DOWN,Aluru To KR Market,3,3168,BMTC,Yashawanthapura Jalahalli Cross
300-B,300-BDOWN,Banasawadi To Kempegowda Bus Station,3,3171,BMTC,Ayyappa Temple Coles Park
300,300DOWN,Banasawadi To Shivajinagara Bus Station,3,3173,BMTC,Maruthi Sevanagara Coles Park
210-X,210-XDOWN,Chandra Nagara To Kempegowda Bus Station,3,3174,BMTC,KR Market
250-C,250-CUP,Kempegowda Bus Station To Bagalagunte Village,3,3181,BMTC,Jalahalli Cross
